date_sign_up,customer_id,initial_sales_order_nr,customer_name,first_product_sku,first_product_name,voucher_code
12/31/2018 4:30,13531075,285772363,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL049FIT
12/31/2018 5:38,13531325,277172363,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,ATL046FIT
12/31/2018 6:27,13531607,292252363,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,AUT019FIT
12/31/2018 6:53,13531820,269952363,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,ATL049FIT
12/31/2018 7:11,13531985,235852363,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,JAK032EVT
12/31/2018 7:16,13532024,274752363,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND041EVT
12/31/2018 7:18,13532053,249752363,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND005EVT
12/31/2018 7:23,13532095,261752363,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SEA021FIT
12/31/2018 7:45,13532349,211152363,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK018EVT
12/31/2018 7:58,13532476,231352363,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK033FIT
12/31/2018 7:59,13532499,236412363,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,IND021EVT
12/31/2018 8:20,13532527,276612363,,US-CBT1-3-4-0,Classic - 3 meals per week for 4 people,PTG048RES
12/31/2018 8:19,13532747,238612363,,US-CP-4-2-0,Classic - 4 meals per week for 2 people,ATL046FIT
12/31/2018 8:20,13532744,277612363,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,BOS017FIT
12/31/2018 8:27,11737064,229912363,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SEA022EVT
12/31/2018 8:33,13532920,253912363,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND005EVT
12/31/2018 9:16,13533512,256312363,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUT007FIT
