eid,location,start_day,start_time,end_time,total_time,shift_title,event_id
3070757,"Cleveland, OH",3/8/19,2:57 PM,9:03 PM,6.09,Wizard World Comic Con ,1.CLE0319
3147206,"Cleveland, OH",3/8/19,2:57 PM,9:04 PM,6.1,Wizard World Comic Con ,1.CLE0319
3063311,"Cleveland, OH",3/9/19,9:40 AM,7:14 PM,9.57,Wizard World Comic Con ,1.CLE0319
3147206,"Cleveland, OH",3/10/19,9:28 AM,4:23 PM,6.93,Wizard World Comic Con ,1.CLE0319
3059086,"Atlanta, GA",3/28/19,3:55 PM,5:15 PM,1.34,Savannah Women's Show Set-Up ,10.ATL0319
3111536,"Atlanta, GA",3/28/19,3:56 PM,4:59 PM,1.06,Savannah Women's Show Set-Up ,10.ATL0319
3111533,"Atlanta, GA",3/28/19,4:00 PM,5:00 PM,1.0,Savannah Women's Show Set-Up ,10.ATL0319
3111533,"Atlanta, GA",3/29/19,3:30 PM,8:30 PM,5.0,Southern Womens Show ,10.ATL0319
3059086,"Atlanta, GA",3/29/19,3:54 PM,8:30 PM,4.61,Southern Womens Show ,10.ATL0319
3059086,"Atlanta, GA",3/30/19,3:54 PM,7:30 PM,3.59,Southern Womens Show ,10.ATL0319
3111536,"Atlanta, GA",3/30/19,3:55 PM,7:30 PM,3.59,Southern Womens Show ,10.ATL0319
3111536,"Atlanta, GA",3/29/19,9:28 AM,8:28 PM,11.0,Southern Womens Show Savannah ,10.ATL0319
3059086,"Atlanta, GA",3/29/19,9:28 AM,3:54 PM,6.43,Southern Womens Show Savannah ,10.ATL0319
3111536,"Atlanta, GA",3/30/19,9:25 AM,3:54 PM,6.5,Southern Womens Show Savannah ,10.ATL0319
3059086,"Atlanta, GA",3/30/19,9:25 AM,3:54 PM,6.48,Southern Womens Show Savannah ,10.ATL0319
3111533,"Atlanta, GA",3/30/19,9:33 AM,11:21 PM,13.79,Southern Womens Show Savannah ,10.ATL0319
3111536,"Atlanta, GA",3/31/19,10:25 AM,5:30 PM,7.09,Southern Womens Show Savannah ,10.ATL0319
3059086,"Atlanta, GA",3/31/19,10:25 AM,5:31 PM,7.1,Southern Womens Show Savannah ,10.ATL0319
3111533,"Atlanta, GA",3/31/19,10:27 AM,5:31 PM,7.07,Southern Womens Show Savannah ,10.ATL0319
3147209,"Seattle, WA",3/8/19,8:18 AM,1:35 PM,5.29,Just Between Friends Issaquah ,100.SEA0319
3163795,"Seattle, WA",3/8/19,1:35 PM,6:05 PM,4.5,Just Between Friends Issaquah ,100.SEA0319
3082974,"Seattle, WA",3/8/19,1:43 PM,6:32 PM,4.81,Just Between Friends Issaquah ,100.SEA0319
3172178,"Seattle, WA",3/9/19,8:00 AM,6:29 PM,10.48,Just Between Friends Issaquah ,100.SEA0319
3163796,"Seattle, WA",3/9/19,8:03 AM,6:35 PM,10.53,Just Between Friends Issaquah ,100.SEA0319
3163796,"Seattle, WA",3/10/19,8:00 AM,2:28 PM,6.46,Just Between Friends Issaquah ,100.SEA0319
3123561,"Seattle, WA",3/10/19,8:07 AM,2:33 PM,6.44,Just Between Friends Issaquah ,100.SEA0319
3066360,"Pittsburgh, PA",3/4/19,3:27 PM,9:36 PM,6.15,Pittsburgh Home and Garden Show ,102.PIT0319
3108125,"Pittsburgh, PA",3/4/19,3:28 PM,9:49 PM,6.35,Pittsburgh Home and Garden Show ,102.PIT0319
3182221,"Pittsburgh, PA",3/5/19,3:34 PM,9:32 PM,5.96,Pittsburgh Home and Garden Show ,102.PIT0319
3116256,"Pittsburgh, PA",3/5/19,3:35 PM,9:39 PM,6.07,Pittsburgh Home and Garden Show ,102.PIT0319
3116256,"Pittsburgh, PA",3/6/19,3:28 PM,9:25 PM,5.95,Pittsburgh Home and Garden Show ,102.PIT0319
3189115,"Pittsburgh, PA",3/6/19,3:28 PM,9:25 PM,5.95,Pittsburgh Home and Garden Show ,102.PIT0319
3059109,"Pittsburgh, PA",3/7/19,3:27 PM,9:40 PM,6.21,Pittsburgh Home and Garden Show ,102.PIT0319
3116256,"Pittsburgh, PA",3/7/19,3:33 PM,9:44 PM,6.18,Pittsburgh Home and Garden Show ,102.PIT0319
3116256,"Pittsburgh, PA",3/8/19,9:25 AM,4:02 PM,6.62,Pittsburgh Home and Garden Show ,102.PIT0319
3059113,"Pittsburgh, PA",3/8/19,9:29 AM,4:01 PM,6.53,Pittsburgh Home and Garden Show ,102.PIT0319
3066360,"Pittsburgh, PA",3/8/19,3:56 PM,9:42 PM,5.78,Pittsburgh Home and Garden Show ,102.PIT0319
3123563,"Pittsburgh, PA",3/8/19,4:01 PM,9:50 PM,5.82,Pittsburgh Home and Garden Show ,102.PIT0319
3123555,"Pittsburgh, PA",3/9/19,9:29 AM,9:18 PM,11.82,Pittsburgh Home and Garden Show ,102.PIT0319
3108123,"Pittsburgh, PA",3/10/19,9:25 AM,6:06 PM,8.69,Pittsburgh Home and Garden Show ,102.PIT0319
3066360,"Pittsburgh, PA",3/10/19,9:34 AM,6:02 PM,8.47,Pittsburgh Home and Garden Show ,102.PIT0319
3078104,"Indianapolis, IN",3/29/19,8:43 AM,6:12 PM,9.49,Hot Chocolate 15/5k Expo ,104.IND0319
3045040,"Denver, CO",3/18/19,5:56 PM,8:41 PM,2.74,"Wine, Women, & Wellness - Belmar ",105.DEN0319
3045040,"Denver, CO",3/5/19,1:25 PM,5:10 PM,3.75,"Wine, Women, & Wellness - DTC ",105.DEN0319
3045037,"Denver, CO",3/5/19,1:26 PM,5:11 PM,3.75,"Wine, Women, & Wellness - DTC ",105.DEN0319
3045037,"Denver, CO",3/12/19,5:58 PM,9:21 PM,3.38,"Wine, Women, & Wellness - Littleton ",105.DEN0319
3030057,"Denver, CO",3/20/19,5:55 PM,8:25 PM,2.5,"Wine, Women, & Wellness - Lowry ",105.DEN0319
3060528,"Denver, CO",3/13/19,6:00 PM,8:30 PM,2.5,"Wine, Women, & Wellness - Westminster ",105.DEN0319
3163787,"Denver, CO",3/13/19,6:00 PM,8:00 PM,2.0,"Wine, Women, & Wellness - Westminster ",105.DEN0319
3184467,"Houston, TX",3/10/19,11:03 AM,6:17 PM,7.24,EADO Fest ,106.HOU0319
3108120,"Jacksonville, FL",3/16/19,7:13 AM,5:06 PM,9.89,Savage Race ,107.JAX0319
3100045,"Jacksonville, FL",3/16/19,7:13 AM,5:00 PM,9.79,Savage Race ,107.JAX0319
3108120,"Jacksonville, FL",3/17/19,7:11 AM,3:04 PM,7.89,Savage Race ,107.JAX0319
3100045,"Jacksonville, FL",3/17/19,7:11 AM,3:04 PM,7.89,Savage Race ,107.JAX0319
3066356,"Jacksonville, FL",3/9/19,8:46 AM,5:00 PM,8.24,Clay County Strawberry Festival ,11.JAX0319
3066356,"Jacksonville, FL",3/10/19,9:00 AM,3:07 PM,6.12,Clay County Strawberry Festival ,11.JAX0319
3078105,"Jacksonville, FL",3/10/19,9:25 AM,5:44 PM,8.32,Clay County Strawberry Festival ,11.JAX0319
3108120,"Jacksonville, FL",3/24/19,8:55 AM,5:21 PM,8.44,Palm Coast Strawberry Fest ,11.JAX0319
3066356,"Jacksonville, FL",3/24/19,9:17 AM,5:20 PM,8.06,Palm Coast Strawberry Fest ,11.JAX0319
3066359,"Jacksonville, FL",3/23/19,8:25 AM,5:33 PM,9.14,Palm Coast Strawberry Festival ,11.JAX0319
3078105,"Jacksonville, FL",3/23/19,8:25 AM,5:34 PM,9.16,Palm Coast Strawberry Festival ,11.JAX0319
3186103,"Houston, TX",3/17/19,9:27 AM,3:37 PM,6.17,Montrose Morning Market ,113.HOU0319
2990682,"Houston, TX",3/17/19,9:35 AM,3:40 PM,6.1,Montrose Morning Market ,113.HOU0319
3182221,"Pittsburgh, PA",3/9/19,11:25 AM,5:00 PM,5.58,2019 Food Truck A Palooza ,114.PIT0319
3147206,"Cleveland, OH",3/29/19,9:59 AM,8:34 PM,10.57,IX Indoor Amusement Park ,117.CLE0319
3116263,"Cleveland, OH",3/29/19,10:28 AM,8:34 PM,10.09,IX Indoor Amusement Park ,117.CLE0319
3178845,"Cleveland, OH",3/30/19,10:30 AM,9:07 PM,10.62,IX Indoor Amusement Park ,117.CLE0319
3178846,"Cleveland, OH",3/30/19,10:56 AM,9:07 PM,10.18,IX Indoor Amusement Park ,117.CLE0319
3070757,"Cleveland, OH",3/31/19,10:31 AM,9:02 PM,10.52,IX Indoor Amusement Park ,117.CLE0319
3063311,"Cleveland, OH",3/31/19,10:44 AM,9:02 PM,10.3,IX Indoor Amusement Park ,117.CLE0319
3091433,"Santa Ana, CA",3/24/19,8:55 AM,4:18 PM,7.38,Pasadena Bride World ,119.SNA0319
3086515,"Santa Ana, CA",3/24/19,9:11 AM,4:20 PM,7.13,Pasadena Bride World ,119.SNA0319
3178850,"Columbus, OH",3/23/19,10:35 AM,2:37 PM,4.03,SupZilla - Pickerington ,12.CMH0319
3091433,"Santa Ana, CA",3/23/19,8:43 AM,4:54 PM,8.18,Claremont Pie Fest ,120.SNA0319
3100050,"Santa Ana, CA",3/23/19,8:53 AM,4:30 PM,7.62,Claremont Pie Fest ,120.SNA0319
3086513,"Santa Ana, CA",3/23/19,9:36 AM,4:34 PM,6.97,Claremont Pie Fest ,120.SNA0319
3055295,"Pleasanton, CA",3/23/19,7:58 AM,4:24 PM,8.43,Oakland Marathon Expo ,121.SFO0319
3201204,"Pleasanton, CA",3/23/19,8:00 AM,4:24 PM,8.4,Oakland Marathon Expo ,121.SFO0319
3055295,"Pleasanton, CA",3/22/19,3:30 PM,7:25 PM,3.92,Oakland Marathon Packet Pickup ,121.SFO0319
