,date_sign_up,customer_id,first_product_sku,first_product_name,voucher_code,voucher_category,sales_rule_set
0,03/04/19,14846185,US-CP-3-2-0,Classic - 3 meals per week for 2 people,CLE005,Direct Sales In-house,HF_20x3_Cleveland
1,03/04/19,14846203,US-FMP-2-4-0,Family - 2 meals per week for 4 people,CLE004,Direct Sales In-house,HF_20x3_Cleveland
2,03/04/19,14847089,US-CBT1-3-2-0,Classic - 3 meals per week for 2 people,ATL053,Direct Sales In-house,HF_20x3_Atlanta
3,03/04/19,14848157,US-CP-3-2-0,Classic - 3 meals per week for 2 people,CLE004,Direct Sales In-house,HF_20x3_Cleveland
4,03/04/19,14848708,US-CP-3-4-0,Classic - 3 meals per week for 4 people,PHX032,Direct Sales In-house,HF_20x3_Phoenix
5,03/04/19,14849135,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN002,Direct Sales In-house,HF_20x3_Denver
6,03/04/19,14849307,US-CP-2-2-0,Classic - 2 meals per week for 2 people,ATL008RES,Direct Sales In-house,HF_25x2_ResAtlanta
7,03/04/19,14849531,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN007,Direct Sales In-house,HF_20x3_Denver
8,03/04/19,14849861,US-CP-3-2-0,Classic - 3 meals per week for 2 people,CLE028,Direct Sales In-house,HF_20x3_Cleveland
9,03/04/19,14850680,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL053,Direct Sales In-house,HF_20x3_Atlanta
10,03/04/19,14850876,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX008,Direct Sales In-house,HF_20x3_Phoenix
11,03/04/19,14850879,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL033,Direct Sales In-house,HF_20x3_Atlanta
12,03/04/19,14851000,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL042,Direct Sales In-house,HF_20x3_Atlanta
13,03/04/19,14851046,US-CP-3-2-0,Classic - 3 meals per week for 2 people,CMH036,Direct Sales In-house,HF_20x3_Columbus
14,03/04/19,14850890,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL046,Direct Sales In-house,HF_20x3_Atlanta
15,03/04/19,14851477,US-CP-3-4-0,Classic - 3 meals per week for 4 people,IND027,Direct Sales In-house,HF_20x3_Indianapolis
16,03/04/19,14851595,US-FMP-2-4-0,Family - 2 meals per week for 4 people,ATL003,Direct Sales In-house,HF_20x3_Atlanta
17,03/04/19,14851686,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAX039,Direct Sales In-house,HF_20x3_Jacksonville
18,03/04/19,13505057,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL042,Direct Sales In-house,HF_20x3_Atlanta
19,03/04/19,14851697,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL055,Direct Sales In-house,HF_20x3_Atlanta
20,03/04/19,14851607,US-CP-3-2-0,Classic - 3 meals per week for 2 people,BOS030,Direct Sales In-house,HF_20x3_Boston
21,03/04/19,14852136,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL055,Direct Sales In-house,HF_20x3_Atlanta
22,03/04/19,14852280,US-CP-3-2-0,Classic - 3 meals per week for 2 people,BOS019,Direct Sales In-house,HF_20x3_Boston
23,03/04/19,14852554,US-CP-4-2-0,Classic - 4 meals per week for 2 people,DFW005,Direct Sales In-house,HF_20x3_Dallas
24,03/04/19,14852828,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL053,Direct Sales In-house,HF_20x3_Atlanta
25,03/04/19,14853168,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX008,Direct Sales In-house,HF_20x3_Phoenix
26,03/04/19,14853222,US-CP-3-4-0,Classic - 3 meals per week for 4 people,ATL033,Direct Sales In-house,HF_20x3_Atlanta
27,03/04/19,14853262,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PIT035,Direct Sales In-house,HF_20x3_Pittsburgh
28,03/04/19,14853286,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUS021,Direct Sales In-house,HF_20x3_Austin
29,03/04/19,14853319,US-CP-2-2-0,Classic - 2 meals per week for 2 people,BOS019EVT,Direct Sales In-house,HF_25x2_EvtBoston
30,03/04/19,14853777,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN013,Direct Sales In-house,HF_20x3_Denver
31,03/04/19,14854120,US-CBT1-3-2-0,Classic - 3 meals per week for 2 people,IND041,Direct Sales In-house,HF_20x3_Indianapolis
32,03/04/19,14854156,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DFW002,Direct Sales In-house,HF_20x3_Dallas
33,03/04/19,14854267,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND041,Direct Sales In-house,HF_20x3_Indianapolis
34,03/04/19,14854415,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAX039,Direct Sales In-house,HF_20x3_Jacksonville
35,03/04/19,14854366,US-CP-3-4-0,Classic - 3 meals per week for 4 people,JAX016,Direct Sales In-house,HF_20x3_Jacksonville
36,03/04/19,14854427,US-CP-3-2-0,Classic - 3 meals per week for 2 people,BOS030,Direct Sales In-house,HF_20x3_Boston
37,03/04/19,14854402,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DEN008,Direct Sales In-house,HF_20x3_Denver
38,03/04/19,14854505,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PIT035,Direct Sales In-house,HF_20x3_Pittsburgh
39,03/04/19,14854480,US-CP-3-2-0,Classic - 3 meals per week for 2 people,BOS019,Direct Sales In-house,HF_20x3_Boston
40,03/04/19,14854532,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PIT021,Direct Sales In-house,HF_20x3_Pittsburgh
41,03/04/19,14854660,US-CP-3-4-0,Classic - 3 meals per week for 4 people,PIT050,Direct Sales In-house,HF_20x3_Pittsburgh
42,03/04/19,3509861,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX002,Direct Sales In-house,HF_20x3_Phoenix
43,03/04/19,14854347,US-CP-2-2-0,Classic - 2 meals per week for 2 people,2X2ATL018,Direct Sales In-house,HF_10x3_Atlanta_2x2
44,03/04/19,14855032,US-FMP-2-4-0,Family - 2 meals per week for 4 people,PIT035,Direct Sales In-house,HF_20x3_Pittsburgh
45,03/04/19,14855054,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUS021,Direct Sales In-house,HF_20x3_Austin
46,03/04/19,14855160,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL054,Direct Sales In-house,HF_20x3_Atlanta
47,03/04/19,14855250,US-CP-3-2-0,Classic - 3 meals per week for 2 people,NYC010,Direct Sales In-house,HF_20x3_NYC
48,03/04/19,14855359,US-CP-3-2-0,Classic - 3 meals per week for 2 people,DFW005,Direct Sales In-house,HF_20x3_Dallas
49,03/04/19,14855402,US-CP-3-2-0,Classic - 3 meals per week for 2 people,BOS031,Direct Sales In-house,HF_20x3_Boston
50,03/04/19,14855507,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PIT035,Direct Sales In-house,HF_20x3_Pittsburgh
51,03/04/19,14855499,US-CBT1-3-2-0,Classic - 3 meals per week for 2 people,ATL053,Direct Sales In-house,HF_20x3_Atlanta
52,03/04/19,14855575,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND027,Direct Sales In-house,HF_20x3_Indianapolis
53,03/04/19,14855523,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SFO024,Direct Sales In-house,HF_20x3_Pleasanton
54,03/04/19,14855673,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX026,Direct Sales In-house,HF_20x3_Phoenix
55,03/04/19,14855797,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PIT035,Direct Sales In-house,HF_20x3_Pittsburgh
56,03/04/19,3236965,US-CP-3-2-0,Classic - 3 meals per week for 2 people,CMH012,Direct Sales In-house,HF_20x3_Columbus
57,03/04/19,14856009,US-CP-3-2-0,Classic - 3 meals per week for 2 people,BOS031,Direct Sales In-house,HF_20x3_Boston
58,03/04/19,14856145,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PIT050,Direct Sales In-house,HF_20x3_Pittsburgh
59,03/04/19,14856322,US-CP-3-2-0,Classic - 3 meals per week for 2 people,NYC010,Direct Sales In-house,HF_20x3_NYC
60,03/04/19,14856271,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND046,Direct Sales In-house,HF_20x3_Indianapolis
61,03/04/19,14856391,US-CP-3-2-0,Classic - 3 meals per week for 2 people,BOS031,Direct Sales In-house,HF_20x3_Boston
62,03/04/19,14856376,US-CP-3-4-0,Classic - 3 meals per week for 4 people,PHX051,Direct Sales In-house,HF_20x3_Phoenix
63,03/04/19,14856220,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL042,Direct Sales In-house,HF_20x3_Atlanta
64,03/04/19,14856404,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAX041,Direct Sales In-house,HF_20x3_Jacksonville
65,03/04/19,14856429,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAX041,Direct Sales In-house,HF_20x3_Jacksonville
66,03/04/19,14856576,US-CP-3-2-0,Classic - 3 meals per week for 2 people,CMH012,Direct Sales In-house,HF_20x3_Columbus
67,03/04/19,14856622,US-CP-3-2-0,Classic - 3 meals per week for 2 people,AUS050,Direct Sales In-house,HF_20x3_Austin
68,03/04/19,14853353,US-CP-3-4-0,Classic - 3 meals per week for 4 people,HOU008,Direct Sales In-house,HF_20x3_Houston
69,03/04/19,14856799,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SFO026,Direct Sales In-house,HF_20x3_Pleasanton
70,03/04/19,14856909,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PIT050,Direct Sales In-house,HF_20x3_Pittsburgh
71,03/04/19,14856988,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PIT001,Direct Sales In-house,HF_20x3_Pittsburgh
